u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
1.8576499999999996,0.6715800000000023,0.42309999999999803,0.3061000000000007,0.5854284,2.251946,2.339849,2.380652,2.359738,2.395528,3.095123,3.818919,3.82623,5.174814,8.263009,11.47734,merger
1.7425899999999999,0.8608499999999992,0.44927000000000206,0.2885099999999987,0.7498125,2.031566,2.084156,2.092272,2.124075,2.133154,1.430436,1.422533,1.385727,3.732712,3.416921,3.330347,merger
2.1069700000000005,0.9670999999999985,0.5681000000000012,0.3374699999999997,0.6300893,1.992887,2.450746,2.473116,2.465324,2.438683,3.099957,3.623704,3.4633,9.110857,8.354343,11.26539,merger
1.2283999999999988,0.6044599999999996,0.3904899999999998,0.2891300000000001,0.6689994,2.056115,2.182252,2.30951,2.391414,2.472397,3.627267,4.063471,3.717708,9.580675,12.20242,11.82622,merger
1.8079199999999993,0.7812400000000004,0.4552800000000019,0.35066999999999915,0.5001697,2.259167,2.194723,2.264567,2.334713,2.352568,3.256751,3.153533,2.254511,9.206746,9.790146,6.636931,merger
2.0321399999999983,1.0731500000000018,0.4660200000000003,0.3554700000000004,0.5722513,2.10282,2.468013,2.450496,2.458613,2.458825,10.77224,3.165609,2.361423,18.45059,9.938354,8.612621,merger
2.3590899999999984,1.1246200000000002,0.6621000000000024,0.40878000000000014,0.878042,1.839628,1.863597,1.938819,2.022217,2.041389,0.8226007,1.160667,1.089881,1.381858,2.048602,1.984791,merger
1.51422,0.7914300000000001,0.4893799999999988,0.41490000000000116,0.5279154,2.056123,2.055964,2.063201,2.104309,2.179036,10.08658,9.246612,8.480659,27.27546,26.45884,25.89856,merger
1.5672099999999993,0.8907699999999998,0.47569000000000017,0.3160000000000007,0.7385322,2.219361,2.351838,2.361428,2.350443,2.346544,6.974425,4.096219,3.078832,25.19294,16.39548,14.5748,merger
1.711800000000002,0.7563699999999987,0.3558400000000006,0.2603200000000001,0.6939709,2.365785,2.359929,2.384462,2.404375,2.42589,5.513676,4.854186,4.562141,12.92527,11.6787,11.03256,merger
1.2830300000000001,0.6883599999999994,0.5357400000000005,0.23066999999999993,0.5796064,2.242916,2.244104,2.28464,2.278594,2.304903,1.930742,2.17427,1.866429,4.388643,5.959015,5.203443,merger
1.2942699999999974,0.8536099999999998,0.4886000000000017,0.23736000000000068,0.604212,2.269327,2.333503,2.353416,2.376278,2.336129,5.913895,3.994071,2.857255,16.07405,9.145452,7.223488,merger
1.1882800000000024,0.2345000000000006,0.07819999999999894,0.1267599999999991,0.5541996,2.392262,2.509063,2.606223,2.603474,2.644946,2.474822,3.589779,3.453185,6.843551,9.527234,8.677188,merger
2.11543,1.1149500000000003,0.45874999999999844,0.3720200000000027,0.774757,2.133908,2.303169,2.308,2.313218,2.282661,2.747733,2.518767,1.874026,8.571146,9.745207,7.005058,merger
2.457720000000002,1.1260100000000008,0.6382799999999982,0.4281100000000002,0.5730677,2.002075,2.177701,2.274293,2.346759,2.371401,0.3430885,6.098925,2.613241,0.4555733,51.35003,5.579117,merger
1.4649599999999978,0.5790199999999999,0.36062000000000083,0.2673799999999993,0.6539531,2.227588,2.208161,2.219867,2.219876,2.211575,1.467169,1.799988,1.498842,5.374623,7.034762,6.214482,merger
0.9517400000000009,0.5108199999999989,0.42570000000000086,0.29232999999999976,0.7356,2.352855,2.376356,2.446455,2.479741,2.466861,3.959873,4.461379,3.795087,12.97139,13.9767,12.08755,merger
1.0294099999999986,0.4841099999999994,0.30557000000000123,0.25228999999999857,0.5505208,2.37199,2.388859,2.403924,2.422121,2.423656,3.548005,3.879543,3.506557,9.55603,10.95833,10.57209,merger
1.7897800000000004,0.8927699999999987,0.5036000000000005,0.3438099999999995,0.8536487,2.444682,2.413343,2.456754,2.473223,2.44045,3.205834,3.339742,2.626228,6.672235,9.661751,7.845277,merger
1.9046100000000017,0.856539999999999,0.48399000000000214,0.37331000000000003,0.5119938,2.004611,2.171324,2.188274,2.147174,2.183138,9.671149,3.792794,3.846684,24.55335,10.95145,17.39018,merger
1.4995399999999997,0.9064499999999995,0.49927999999999884,0.2814900000000016,0.5225258,2.293606,2.323294,2.427155,2.473767,2.460717,2.73938,2.964351,2.443051,11.85156,7.8421,6.288342,merger
2.0405200000000008,0.840250000000001,0.4371799999999997,0.3135300000000001,0.8556074,2.307533,2.312211,2.442366,2.457401,2.417771,3.036843,3.593324,3.302558,6.06695,9.743716,9.140563,merger
1.8682800000000004,0.8126499999999997,0.4554299999999998,0.3918499999999998,0.3291647,2.244428,2.264306,2.297294,2.317142,2.318327,4.255091,6.518059,5.64574,11.46749,19.75172,18.25185,merger
1.6460100000000004,0.8133499999999998,0.5300200000000004,0.3125,0.5247679,2.513187,2.297061,2.272396,2.283953,2.256773,4.977104,2.260349,1.750083,10.02555,7.077693,5.764951,merger
1.4529299999999985,0.6336800000000018,0.40208000000000155,0.2657299999999978,0.3909295,2.110849,2.15626,2.143514,2.23404,2.247642,1.666188,1.683902,1.375343,3.026231,3.700802,3.074833,merger
